"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"FBgn0034051",660.569007538434,0.0540439483834347,0.0683095642701579,0.791162247349375,0.428849318758041,0.610301723952432
"FBgn0013988",556.365970425772,-0.369660772795831,0.0794676901817967,-4.65171155661081,3.29191321258075e-06,2.84372764439942e-05
"FBgn0034054",27.8019341984789,0.490581661348718,0.309339727249503,1.58589931435813,0.112762151393241,0.236631146698988
"FBgn0034057",216.871492382308,0.0989958588046676,0.118208646849564,0.837467151879784,0.402330033396538,0.584819466311694
"FBgn0034058",73.6477117309071,0.288618208344514,0.193973837193987,1.48792338451229,0.136771099901156,0.271858287491628
"FBgn0020236",1296.87410674325,-0.0850564198087033,0.0534051882597919,-1.59266210981118,0.111236011964849,0.233969202931277
"FBgn0034060",437.070131598017,-0.0699402874643114,0.0817013815311353,-0.856047794463037,0.391971343358927,0.575985398362177
"FBgn0034061",60.3582176681117,-0.0109703062498684,0.211825463167479,-0.0517893651019413,0.958696529599737,0.978444363714638
"FBgn0034063",83.9631640736831,0.458905579401216,0.181267727473384,2.53164523987645,0.0113528789099121,0.0385711561855121
"FBgn0034062",30.5834388975364,-0.452966206000723,0.306095943336034,-1.47981773643911,0.138921894014705,0.274388432295186
"FBgn0010590",244.037865987651,-0.107374419773301,0.10800462815442,-0.994164987261304,0.320142550803704,0.501388790679799
"FBgn0034065",37.9608557219235,0.106110576893106,0.26697146727992,0.39746036523764,0.691028008488734,0.81649412530987
"FBgn0034066",501.214790851768,-0.165926327116741,0.0787905381748978,-2.10591691540958,0.0352115700564915,0.095409164243996
"FBgn0034067",36.9944080559199,1.01507924070249,0.280991586681955,3.61248979974415,0.000303271039809633,0.00166661429971028
"FBgn0034068",398.717621928973,-0.085524575729194,0.0868645687201987,-0.984573767984494,0.324833480089774,0.506261568991141
"FBgn0034071",443.291553353876,-0.237436946564492,0.0838353768365251,-2.83218082298935,0.00462316961815629,0.0181357058725191
"FBgn0034072",1368.67486837093,0.197297642432843,0.0511368095782826,3.85823136132126,0.000114210509167451,0.000706161148171515
"FBgn0083983",28.5827801797506,0.975733758241152,0.323421071600555,3.0169146166402,0.00255361729000805,0.0108809557841106
"FBgn0034073",170.265548008723,0.10920715011261,0.136159293391864,0.80205432469684,0.422521534501372,0.603780280911186
"FBgn0014020",3599.90166079163,0.0343598920948893,0.0407917794257435,0.842323933365969,0.399606657989395,0.582916638165681
"FBgn0017549",253.14689540457,0.39432219747328,0.110947844976705,3.55412218737619,0.000379242973920364,0.00203036124210129
"FBgn0034075",35.9503073062499,-0.0916914308426406,0.275319354820684,-0.333036632685556,0.739106631130682,0.848279569536241
"FBgn0086676",1258.22020597605,0.185539572294016,0.0523366814984437,3.54511533750059,0.000392441324168664,0.00209330853163388
"FBgn0001124",337.122897361516,0.771784081792248,0.0948319001905493,8.13844371188886,4.00391115350554e-16,1.0853886018738e-14
"FBgn0050094",22.9028876546777,-0.105659114049383,0.354592365480721,-0.297973460049375,0.765723419840602,0.866372939595386
"FBgn0027091",278.299354189312,-0.641066399887337,0.101827689214521,-6.29559999674348,3.06213080681011e-10,4.64433826961909e-09
"FBgn0034083",406.324288447482,-0.0785173074770661,0.0863903105112039,-0.908867059424254,0.36342030352277,0.548680071715071
"FBgn0034084",60.0279318496163,0.208100695499276,0.211439172723028,0.98421069671832,0.325011927467334,0.506263218921566
"FBgn0015754",504.070769530262,0.214195387673276,0.0773271944031307,2.76998783321439,0.00560583866432121,0.0211675768691755
"FBgn0034086",73.6069775410218,-0.00248222459407623,0.203501111316708,-0.0121975972416836,0.990267966806786,0.993961975525187
"FBgn0034087",875.609669645407,0.102887063481288,0.0619123955581086,1.66181687130361,0.0965494983903761,0.210259329744306
"FBgn0034088",70.6470015304058,0.0765465052304698,0.205448387625481,0.37258265258333,0.709459085910066,0.829052639397881
"FBgn0034089",436.396630596103,-0.14702011652602,0.0866113765773606,-1.69746888152393,0.089608049495552,0.198154145835168
"FBgn0015295",225.318919800215,0.0848389502459606,0.11066453416422,0.766631792983143,0.443300467117851,0.621733184094824
"FBgn0034091",218.770011490052,0.00591679980873738,0.116392649334056,0.0508348236988377,0.959457141440433,0.978444363714638
"FBgn0034093",42.9833750056996,0.567186267010183,0.252459825984844,2.24663969721754,0.0246630630064957,0.0724533573563247
"FBgn0034094",45.2912748170797,-0.154138903742092,0.242799571292533,-0.634840098446388,0.52553270810276,0.693424468646304
"FBgn0034098",214.999866328655,0.0390097608606045,0.115004065476955,0.339203320324546,0.734456568135349,0.845406271774364
"FBgn0025519",145.275524828675,0.251140950163808,0.139951874918878,1.79448078355064,0.0727364630920758,0.168075828360029
"FBgn0015925",201.418827747742,0.105979975023656,0.118529173149808,0.894125658749928,0.371254662179683,0.555972403717055
"FBgn0001308",974.007884441707,-0.204777822609372,0.0593008882809331,-3.4531999190173,0.000553978276695356,0.00286860454753511
"FBgn0028424",320.387589651412,0.0521675258354522,0.0949837563400458,0.549225760757348,0.58285052778789,0.738087691193833
"FBgn0034109",61.0366551954641,0.0754003805896299,0.21181800375141,0.355967761258481,0.721864708682702,0.837353841382697
"FBgn0034110",315.25985064904,-0.235097150588754,0.099017395991369,-2.37430148748051,0.0175821876917977,0.054704322732724
"FBgn0034113",138.099779549645,0.179513300326055,0.142210939518396,1.2623030333249,0.206839765629953,0.367136793867971
"FBgn0050096",14.6319296544682,0.0108481097655312,0.434170709607276,0.0249858166971782,0.980066276713975,0.988871192305978
"FBgn0034114",117.047901900507,0.0226597353570187,0.162977395827566,0.139036062283099,0.889421652208937,0.940697088848148
"FBgn0020611",345.491170943361,0.0813510174911414,0.0915034039025465,0.889049084750796,0.373976700632662,0.558414799936303
"FBgn0010611",556.735471161532,0.16528887090127,0.0732390318571392,2.25684128681117,0.024017993866045,0.0709023671015105
"FBgn0034117",254.864501897038,0.329941206113464,0.106785741699845,3.08974963193934,0.00200325284040949,0.0088097045312197
"FBgn0034118",194.51178642278,0.119201484019651,0.12540294720362,0.950547707830987,0.341834024751731,0.525370042272335
"FBgn0022070",110.908939259927,-0.146299942523214,0.156724339127338,-0.933485783623857,0.350569207223568,0.53483521429635
"FBgn0034126",136.1140163644,0.323557920098773,0.142837928855456,2.26521010694712,0.02349978921846,0.0696272302904209
"FBgn0011260",76.616401917433,2.2381502767354,0.227139653664368,9.85363075371506,6.61116316109524e-23,3.00188127283481e-21
"FBgn0034138",4993.20897861624,-0.148343219685337,0.034942289699753,-4.24537776316317,2.18225450743413e-05,0.000161611406692242
"FBgn0034139",7.63298585175505,2.01215856083601,0.683427792268145,2.94421529765142,0.00323774680959523,0.0132818919094914
"FBgn0016131",116.350015208887,0.244948112744813,0.159355693261988,1.53711554153329,0.12426501775881,0.254377389128699
"FBgn0003274",6410.43857992905,0.40264260506508,0.0401235983377445,10.0350572168477,1.06897410893896e-23,5.04292006587113e-22
"FBgn0034141",133.829376281589,0.454975398455468,0.144226867544575,3.1545814327199,0.00160728516286767,0.00728038674479722
"FBgn0034142",227.546490914107,0.10565881160398,0.115031981415172,0.918516835962665,0.358348348865333,0.542827513450093
"FBgn0040505",8.77695504041507,-1.04339521638322,0.569653873141125,-1.83163016276856,0.0670065398267443,0.157796600272706
"FBgn0024315",19.1626325030579,-2.39959407719671,0.44831667955271,-5.3524532693961,8.6769715622335e-08,9.58027331301313e-07
"FBgn0050463",15.6604337711978,2.752620572421,0.5332262605107,5.16219994451259,2.44064394825084e-07,2.53303975486319e-06
"FBgn0013763",6491.42491570141,-0.579119255057101,0.0323029379809628,-17.9277580075966,7.16095970311741e-72,1.40606411467968e-69
"FBgn0034155",264.968892219294,-0.1594307782921,0.109091054378273,-1.46144685465477,0.143892850248357,0.281546339093541
"FBgn0010213",290.794782246984,0.218790460480868,0.09954546342114,2.19789484082511,0.0279566006477481,0.0798681493141524
"FBgn0034158",1451.71891212577,-0.0541546757370992,0.0533067932091614,-1.01590571251606,0.309674288309651,0.489402589638811
"FBgn0025830",124.314785881891,-0.155072214463706,0.148221214383995,-1.04622145425123,0.295458799765695,0.473424830237709
"FBgn0025832",126.242078600985,0.167521121994643,0.151481347039568,1.10588613891112,0.26877580501624,0.443181167372443
"FBgn0026533",1252.0842655572,0.0234669342735671,0.0546946500662137,0.429053559080419,0.667884248068453,0.801086191549829
"FBgn0014870",265.185429250903,-0.045643291000799,0.10509590711732,-0.434301318222097,0.664069646719724,0.799157123832972
"FBgn0028737",2102.85669871672,-0.0964074713458809,0.0461806240490207,-2.08761733586676,0.036832366938848,0.0989597432731991
"FBgn0034166",10.103651507942,-0.215007133381282,0.512357556876317,-0.419642748497969,0.674746454548337,0.806817551767102
