"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_name","direction"
"FBgn0032420",38.1919102948918,1.27635083316486,0.286747411423993,4.45113288669801,8.54184605547053e-06,6.88751516015465e-05,"CG6583","Up"
"FBgn0051856",22.3230598586516,1.68996522351572,0.382039600032532,4.42353416601789,9.70992678942747e-06,7.73493619793756e-05,"CG31856","Up"
"FBgn0083124",26.3367899831664,1.47397560949991,0.340715278423568,4.32612125972086,1.51757901989934e-05,0.000115932824180534,"Uhg4","Up"
"FBgn0003447",11.6552276467883,2.71682023987101,0.629468986769267,4.31605098420339,1.58845305952368e-05,0.00012083886363811,"sn","Up"
"FBgn0038595",37.733920255633,-1.18842674721112,0.277271200575035,-4.28615285232086,1.81793926544482e-05,0.000136721829849448,"CG7142","Down"
"FBgn0052681",42.2997348885386,-1.13262629734086,0.264747646139182,-4.27813547677556,1.88465310031356e-05,0.000141446330307624,"CG32681","Down"
"FBgn0038545",33.1833823707148,1.28146034531527,0.300270637739363,4.26768449610311,1.97512403108382e-05,0.000147268601134221,"CG7713","Up"
"FBgn0037635",46.083604728436,-1.02693913549833,0.247674676065086,-4.14632271580506,3.37857550494055e-05,0.000239466839447737,"CG9837","Down"
"FBgn0031258",34.3767755223638,-1.20795567224451,0.291762539876365,-4.14020138690998,3.47001050630944e-05,0.000244753653673185,"CG4297","Down"
"FBgn0260429",23.9703379216888,-1.54078088967955,0.372869172339072,-4.13222922134852,3.59261876912702e-05,0.000251206692566967,"CG42524","Down"
"FBgn0051360",24.3275211526855,1.53110408661243,0.375173647930307,4.08105445320843,4.48318494266796e-05,0.000306688687462172,"CG31360","Up"
"FBgn0050001",28.9707435527385,1.36875291569055,0.336150445778994,4.07184620124068,4.66419736991632e-05,0.00031817271260509,"CG30001","Up"
"FBgn0259821",42.9198297925044,1.08878404413115,0.267497482134435,4.07025903736904,4.69608919555358e-05,0.000320047729884585,"CG42402","Up"
"FBgn0010223",18.3848385675953,-1.67665262574734,0.414316248573085,-4.04679428219814,5.19238355143471e-05,0.00035025688487626,"Galpha73B","Down"
"FBgn0086910",25.7031370104883,1.37474533569579,0.340859212522672,4.03317641181358,5.50279374364741e-05,0.000369480559589634,"l(3)neo38","Up"
"FBgn0032421",44.3352797802218,1.03155494874319,0.256914794419967,4.01516366962096,5.94045562765536e-05,0.000395576628184383,"CG17218","Up"
"FBgn0039640",21.3582177973156,-1.62780320303888,0.406205403919078,-4.00734009772839,6.14064083481893e-05,0.000407041566286127,"CG14516","Down"
"FBgn0083121",8.47604677318231,3.20042879808689,0.80084587962154,3.99631050059137,6.43373374637464e-05,0.000422613704045314,"Uhg7","Up"
"FBgn0051462",24.1158262709262,1.42117523833549,0.360482497300335,3.94242508021531,8.06618510753154e-05,0.000518591458462094,"CG31462","Up"
"FBgn0034403",22.7129471405735,1.48401759714973,0.37649374231534,3.94167931722689,8.09131100890737e-05,0.00051974690079321,"CG18190","Up"
"FBgn0030598",14.1669384720749,1.95313755264035,0.501099399335281,3.89770483706672,9.71086740230517e-05,0.000610817763443698,"CG9503","Up"
"FBgn0005660",35.7885374616738,1.12842625544205,0.289666336952944,3.89560715722852,9.79530431226514e-05,0.00061506383602944,"Ets21C","Up"
"FBgn0083123",38.7867451758242,1.07368354120959,0.276945850862168,3.87687173455416,0.00010580810111922,0.00065791888733382,"Uhg5","Up"
"FBgn0024984",30.0025309311599,1.17930622006558,0.309714131710532,3.80772492863772,0.000140251153151344,0.000851943668599093,"CG3457","Up"
"FBgn0051477",18.5917955680344,1.55844852982774,0.417559833121833,3.73227596671881,0.000189757443538132,0.00109828165180904,"CG31477","Up"
"FBgn0060296",34.1566226079618,1.1615944012981,0.313041547293649,3.71067167071107,0.00020671006179513,0.00118621532301866,"pain","Up"
"FBgn0038874",25.4784078664519,-1.28840384250614,0.34946621532801,-3.68677653517047,0.000227112623943553,0.00128803529504287,"ETHR","Down"
"FBgn0050051",26.008836368981,1.25559812175819,0.345927077565797,3.62966128755669,0.00028379336351151,0.00156907061332658,"CG30051","Up"
"FBgn0034067",36.9944080559199,1.01507924070249,0.280991586681955,3.61248979974415,0.000303271039809633,0.00166661429971028,"CG8399","Up"
"FBgn0029791",29.4823770610209,-1.11621711590928,0.30990206896939,-3.60183821818734,0.000315974990191264,0.0017220992526178,"CG4096","Down"
"FBgn0020248",11.1127966130252,2.01324504921803,0.561522040773283,3.58533575359847,0.000336644819903548,0.00182244755335266,"stet","Up"
"FBgn0030326",33.6808912709697,-1.04238022783035,0.291776815468058,-3.57252589160724,0.00035355451427357,0.00190688459257423,"CG2444","Down"
"FBgn0013686",105.74976908584,2.06887505731912,0.583475887258689,3.54577644508876,0.000391458148859354,0.0020895984213543,"mt:lrRNA","Up"
"FBgn0053509",27.9880071047562,1.15970153012554,0.329217519321507,3.52259968581136,0.00042733629844181,0.00225788960594891,"CG33509","Up"
"FBgn0035523",19.2338825212787,1.39532342074946,0.398005678434487,3.505787722019,0.000455258151637527,0.00239323478411479,"CG1311","Up"
"FBgn0033065",8.87604760537767,2.24476754898483,0.649138233265048,3.45807323302166,0.00054405347466321,0.00282123375690808,"Cyp6w1","Up"
"FBgn0085814",20.7692300850542,1.4219710986623,0.412218983370362,3.44955267958806,0.000561516159560327,0.0028975698745528,"CR41604","Up"
"FBgn0058002",31.6904587323866,2.69081647896217,0.782125752432321,3.44038854441762,0.000580879627805197,0.00298239611025071,"CG40002","Up"
"FBgn0028433",21.7303963927385,-1.24765038560038,0.363932467725693,-3.4282469860336,0.000607492502721051,0.00310368005082169,"Ggamma30A","Down"
"FBgn0000079",25.0976080752511,-1.17146335345803,0.342754783694797,-3.41778848665507,0.000631321484042398,0.00320962252034151,"Amy-p","Down"
"FBgn0037223",7.39465983274006,-2.50445807750462,0.738274420852854,-3.39231321953626,0.00069305165423152,0.00348444309203598,"TwdlU","Down"
"FBgn0250829",21.373370329662,1.25827502040255,0.370941695908284,3.39210995766208,0.000693566007016337,0.00348461759403436,"PQBP-1","Up"
"FBgn0025836",22.0509982597733,-1.22387989994792,0.363126586917553,-3.37039463382998,0.000750606050259958,0.00372483125350997,"RhoGAP1A","Down"
"FBgn0010097",28.4847382086895,1.06044048161061,0.318010970976096,3.3346034520624,0.000854211194231271,0.00417339900880308,"gammaTub37C","Up"
"FBgn0250868",23.6744741091055,1.1730627337293,0.35422568941831,3.31162523998652,0.000927557111728619,0.00448052022387528,"CG42239","Up"
"FBgn0032498",18.823629952702,1.3041865693588,0.396870385118793,3.28617759918878,0.00101556956478618,0.00486946632680897,"CG6108","Up"
"FBgn0085334",21.0478462638478,-1.22514273793493,0.374637055389168,-3.27021238372235,0.00107466765183453,0.00509958229299664,"CG34305","Down"
